tile,chip,x,y,f1,f2,labels
35JKL,19,255,186,0.61279,0.63281,6
35JKL,19,255,185,0.61279,0.63281,6
35JKL,19,255,184,0.61279,0.63281,6
35JKL,19,255,183,0.60784,0.63072,6
35JKL,19,255,182,0.60784,0.63072,6
35JKL,19,255,181,0.60784,0.63072,6
35JKL,19,255,180,0.617685,0.646835,6
35JKL,19,255,179,0.617685,0.646835,6
35JKL,19,255,178,0.617685,0.646835,6
35JKL,19,255,177,0.642325,0.6701275,6
35JKL,19,255,176,0.642325,0.6701275,6
35JKL,19,255,175,0.642325,0.6701275,6
35JKL,19,255,174,0.6649025,0.6860225,6
35JKL,19,255,173,0.6649025,0.6860225,6
35JKL,19,255,172,0.6649025,0.6860225,6
35JKL,19,255,171,0.6696875,0.6872325,6
35JKL,19,255,170,0.6696875,0.6872325,6
35JKL,19,255,169,0.6696875,0.6872325,6
35JKL,19,255,168,0.67087,0.689955,6
35JKL,19,255,167,0.67087,0.689955,6
35JKL,19,255,166,0.67087,0.689955,6
35JKL,19,255,165,0.66889,0.6953175,6
35JKL,19,255,164,0.66889,0.6953175,6
35JKL,19,255,163,0.66889,0.6953175,6
35JKL,19,255,162,0.6734275,0.699305,6
35JKL,19,255,161,0.6734275,0.699305,6
35JKL,19,255,160,0.6734275,0.699305,6
35JKL,19,255,159,0.673785,0.7007075,7
35JKL,19,255,158,0.673785,0.7007075,7
35JKL,19,255,157,0.673785,0.7007075,7
35JKL,19,255,156,0.67549,0.7026325,7
35JKL,19,255,155,0.67549,0.7026325,7
35JKL,19,255,154,0.67549,0.7026325,7
35JKL,19,255,153,0.6763975,0.70156,6
35JKL,19,255,152,0.6763975,0.70156,6
35JKL,19,255,151,0.6763975,0.70156,6
35JKL,19,255,150,0.676645,0.7047225,6
35JKL,19,255,149,0.676645,0.7047225,6
35JKL,19,255,148,0.676645,0.7047225,6
35JKL,19,255,147,0.68022,0.7081875,6
35JKL,19,255,146,0.68022,0.7081875,6
35JKL,19,255,145,0.68022,0.7081875,6
35JKL,19,255,144,0.67912,0.707115,6
35JKL,19,255,143,0.67912,0.707115,6
35JKL,19,255,142,0.67912,0.707115,6
35JKL,19,255,141,0.666195,0.6953175,6
35JKL,19,255,140,0.666195,0.6953175,6
35JKL,19,255,139,0.666195,0.6953175,6
35JKL,19,255,138,0.6668275,0.6917975,6
35JKL,19,255,137,0.6668275,0.6917975,6
35JKL,19,255,136,0.6668275,0.6917975,6
35JKL,19,255,135,0.681375,0.707445,6
35JKL,19,255,134,0.681375,0.707445,6
35JKL,19,255,133,0.681375,0.707445,6
35JKL,19,255,132,0.6904225,0.720645,6
35JKL,19,255,131,0.6904225,0.720645,6
35JKL,19,255,130,0.6904225,0.720645,6
35JKL,19,255,129,0.6915775,0.7196275,6
35JKL,19,255,128,0.6915775,0.7196275,6
35JKL,19,255,127,0.6915775,0.7196275,7
35JKL,19,255,126,0.6972975,0.72774,7
35JKL,19,255,125,0.6972975,0.72774,7
35JKL,19,255,124,0.6972975,0.72774,7
35JKL,19,255,123,0.705025,0.7349175,2
35JKL,19,255,122,0.705025,0.7349175,2
35JKL,19,255,121,0.705025,0.7349175,2
35JKL,19,255,120,0.7089575,0.740225,2
35JKL,19,255,119,0.7089575,0.740225,2
35JKL,19,255,118,0.7089575,0.740225,2
35JKL,19,255,117,0.70299,0.7422875,2
35JKL,19,255,116,0.70299,0.7422875,7
35JKL,19,255,115,0.70299,0.7422875,7
35JKL,19,255,114,0.6973525,0.732745,7
35JKL,19,255,113,0.6973525,0.732745,7
35JKL,19,255,112,0.6973525,0.732745,7
35JKL,19,255,111,0.7029625,0.7349725,7
35JKL,19,255,110,0.7029625,0.7349725,7
35JKL,19,255,109,0.7029625,0.7349725,7
35JKL,19,255,108,0.705685,0.7383825,7
35JKL,19,255,107,0.705685,0.7383825,7
35JKL,19,255,106,0.705685,0.7383825,7
35JKL,19,255,105,0.7103325,0.744735,7
35JKL,19,255,104,0.7103325,0.744735,7
35JKL,19,255,103,0.7103325,0.744735,7
35JKL,19,255,102,0.7188575,0.75128,7
35JKL,19,255,101,0.7188575,0.75128,7
35JKL,19,255,100,0.7188575,0.75128,7
35JKL,19,255,99,0.7348625,0.7621425,7
35JKL,19,255,98,0.7348625,0.7621425,7
35JKL,19,255,97,0.7348625,0.7621425,7
35JKL,19,255,96,0.752545,0.7818325,7
35JKL,19,255,95,0.752545,0.7818325,6
35JKL,19,255,94,0.752545,0.7818325,6
35JKL,19,255,93,0.76129,0.793795,6
35JKL,19,255,92,0.76129,0.793795,6
35JKL,19,255,91,0.76129,0.793795,6
35JKL,19,255,90,0.7722075,0.803805,6
35JKL,19,255,89,0.7722075,0.803805,6
35JKL,19,255,88,0.7722075,0.803805,6
35JKL,19,255,87,0.773115,0.8092775,6
35JKL,19,255,86,0.773115,0.8092775,6
35JKL,19,255,85,0.773115,0.8092775,6
35JKL,19,255,84,0.758925,0.7948675,6
35JKL,19,255,83,0.758925,0.7948675,6
35JKL,19,255,82,0.758925,0.7948675,6
35JKL,19,255,81,0.7526,0.7878,6
35JKL,19,255,80,0.7526,0.7878,6
35JKL,19,255,79,0.7526,0.7878,6
35JKL,19,255,78,0.7363475,0.774765,6
35JKL,19,255,77,0.7363475,0.774765,6
35JKL,19,255,76,0.7363475,0.774765,6
35JKL,19,255,75,0.71531,0.74941,6
35JKL,19,255,74,0.71531,0.74941,6
35JKL,19,255,73,0.71531,0.74941,6
35JKL,19,255,72,0.729885,0.7526825,6
35JKL,19,255,71,0.729885,0.7526825,6
35JKL,19,255,70,0.729885,0.7526825,6
35JKL,19,255,69,0.75216,0.778175,6
35JKL,19,255,68,0.75216,0.778175,6
35JKL,19,255,67,0.75216,0.778175,6
35JKL,19,255,66,0.764205,0.78725,6
35JKL,19,255,65,0.764205,0.78725,6
35JKL,19,255,64,0.764205,0.78725,6
35JKL,19,255,63,0.76877,0.79429,6
35JKL,19,255,62,0.76877,0.79429,6
35JKL,19,255,61,0.76877,0.79429,6
35JKL,19,255,60,0.7735,0.8026775,6
35JKL,19,255,59,0.7735,0.8026775,6
35JKL,19,255,58,0.7735,0.8026775,6
35JKL,19,255,57,0.77086,0.8054,6
35JKL,19,255,56,0.77086,0.8054,6
35JKL,19,255,55,0.77086,0.8054,6
35JKL,19,255,54,0.7669825,0.800505,6
35JKL,19,255,53,0.7669825,0.800505,6
35JKL,19,255,52,0.7669825,0.800505,6
35JKL,19,255,51,0.7761675,0.8055925,6
35JKL,19,255,50,0.7761675,0.8055925,6
35JKL,19,255,49,0.7761675,0.8055925,6
35JKL,19,255,48,0.779165,0.808535,6
35JKL,19,255,47,0.779165,0.808535,6
35JKL,19,255,46,0.779165,0.808535,6
35JKL,19,255,45,0.77361,0.8041075,6
35JKL,19,255,44,0.77361,0.8041075,6
35JKL,19,255,43,0.77361,0.8041075,6
35JKL,19,255,42,0.7773225,0.8049875,6
35JKL,19,255,41,0.7773225,0.8049875,6
35JKL,19,255,40,0.7773225,0.8049875,6
35JKL,19,255,39,0.7736925,0.802925,6
35JKL,19,255,38,0.7736925,0.802925,6
35JKL,19,255,37,0.7736925,0.802925,6
35JKL,19,255,36,0.772675,0.8062525,6
35JKL,19,255,35,0.772675,0.8062525,6
35JKL,19,255,34,0.772675,0.8062525,6
35JKL,19,255,33,0.76822,0.7972325,6
35JKL,19,255,32,0.76822,0.7972325,6
35JKL,19,255,31,0.76822,0.7972325,6
35JKL,19,255,30,0.754085,0.7943175,6
35JKL,19,255,29,0.754085,0.7943175,6
35JKL,19,255,28,0.754085,0.7943175,6
35JKL,19,255,27,0.7406375,0.7822175,6
35JKL,19,255,26,0.7406375,0.7822175,6
35JKL,19,255,25,0.7406375,0.7822175,6
35JKL,19,255,24,0.727465,0.7685775,6
35JKL,19,255,23,0.727465,0.7685775,6
35JKL,19,255,22,0.727465,0.7685775,6
35JKL,19,255,21,0.710635,0.7478425,6
35JKL,19,255,20,0.710635,0.7478425,6
35JKL,19,255,19,0.710635,0.7478425,6
35JKL,19,255,18,0.68583,0.7233125,6
35JKL,19,255,17,0.68583,0.7233125,6
35JKL,19,255,16,0.68583,0.7233125,6
35JKL,19,255,15,0.668835,0.6983425,6
35JKL,19,255,14,0.668835,0.6983425,6
35JKL,19,255,13,0.668835,0.6983425,6
35JKL,19,255,12,0.663885,0.6859125,6
35JKL,19,255,11,0.663885,0.6859125,6
35JKL,19,255,10,0.663885,0.6859125,6
35JKL,19,255,9,0.67197,0.6873425,6
35JKL,19,255,8,0.67197,0.6873425,6
35JKL,19,255,7,0.67197,0.6873425,6
35JKL,19,255,6,0.6752975,0.6893775,6
35JKL,19,255,5,0.6752975,0.6893775,6
35JKL,19,255,4,0.6752975,0.6893775,6
35JKL,19,255,3,0.6763425,0.7022475,6
35JKL,19,255,2,0.6763425,0.7022475,6
35JKL,19,255,1,0.6763425,0.7022475,6
35JKL,19,255,0,0.6735925,0.7039525,6
35JKL,19,254,255,0.5779475,0.5986,7
35JKL,19,254,254,0.5779475,0.5986,7
35JKL,19,254,253,0.5779475,0.5986,7
35JKL,19,254,252,0.575335,0.5973625,7
35JKL,19,254,251,0.575335,0.5973625,7
35JKL,19,254,250,0.575335,0.5973625,7
35JKL,19,254,249,0.5678,0.594035,7
35JKL,19,254,248,0.5678,0.594035,7
35JKL,19,254,247,0.5678,0.594035,7
35JKL,19,254,246,0.5698075,0.59673,7
35JKL,19,254,245,0.5698075,0.59673,7
35JKL,19,254,244,0.5698075,0.59673,7
35JKL,19,254,243,0.5738775,0.59541,7
35JKL,19,254,242,0.5738775,0.59541,7
35JKL,19,254,241,0.5738775,0.59541,7
35JKL,19,254,240,0.56604,0.58727,7
35JKL,19,254,239,0.56604,0.58727,7
35JKL,19,254,238,0.56604,0.58727,7
35JKL,19,254,237,0.5564975,0.580175,7
35JKL,19,254,236,0.5564975,0.580175,7
35JKL,19,254,235,0.5564975,0.580175,7
35JKL,19,254,234,0.5516575,0.5737125,5
35JKL,19,254,233,0.5516575,0.5737125,7
35JKL,19,254,232,0.5516575,0.5737125,7
35JKL,19,254,231,0.5514375,0.5761875,7
35JKL,19,254,230,0.5514375,0.5761875,7
35JKL,19,254,229,0.5514375,0.5761875,7
35JKL,19,254,228,0.558615,0.5810275,7
35JKL,19,254,227,0.558615,0.5810275,7
35JKL,19,254,226,0.558615,0.5810275,7
35JKL,19,254,225,0.56219,0.5821,7
35JKL,19,254,224,0.56219,0.5821,7
35JKL,19,254,223,0.56219,0.5821,7
35JKL,19,254,222,0.561915,0.5821275,7
35JKL,19,254,221,0.561915,0.5821275,7
35JKL,19,254,220,0.561915,0.5821275,7
35JKL,19,254,219,0.56461,0.5890575,7
35JKL,19,254,218,0.56461,0.5890575,7
35JKL,19,254,217,0.56461,0.5890575,7
35JKL,19,254,216,0.5638675,0.5885075,7
35JKL,19,254,215,0.5638675,0.5885075,7
35JKL,19,254,214,0.5638675,0.5885075,7
35JKL,19,254,213,0.5658475,0.5935675,7
35JKL,19,254,212,0.5658475,0.5935675,7
35JKL,19,254,211,0.5658475,0.5935675,7
35JKL,19,254,210,0.5714025,0.6004425,7
35JKL,19,254,209,0.5714025,0.6004425,7
35JKL,19,254,208,0.5714025,0.6004425,7
35JKL,19,254,207,0.58562,0.6180425,7
35JKL,19,254,206,0.58562,0.6180425,7
35JKL,19,254,205,0.58562,0.6180425,7
35JKL,19,254,204,0.59816,0.6254675,7
35JKL,19,254,203,0.59816,0.6254675,7
35JKL,19,254,202,0.59816,0.6254675,7
35JKL,19,254,201,0.6090225,0.6332225,7
35JKL,19,254,200,0.6090225,0.6332225,7
35JKL,19,254,199,0.6090225,0.6332225,7
35JKL,19,254,198,0.6145225,0.63072,7
35JKL,19,254,197,0.6145225,0.63072,7
35JKL,19,254,196,0.6145225,0.63072,7
35JKL,19,254,195,0.61884,0.64216,7
35JKL,19,254,194,0.61884,0.64216,7
35JKL,19,254,193,0.61884,0.64216,7
35JKL,19,254,192,0.61961,0.637815,7
35JKL,19,254,191,0.61961,0.637815,6
35JKL,19,254,190,0.61961,0.637815,6
35JKL,19,254,189,0.62071,0.6423525,6
35JKL,19,254,188,0.62071,0.6423525,6
35JKL,19,254,187,0.62071,0.6423525,6
35JKL,19,254,186,0.6151275,0.6389975,6
35JKL,19,254,185,0.6151275,0.6389975,6
35JKL,19,254,184,0.6151275,0.6389975,6
35JKL,19,254,183,0.6035225,0.630005,6
35JKL,19,254,182,0.6035225,0.630005,6
35JKL,19,254,181,0.6035225,0.630005,6
35JKL,19,254,180,0.614605,0.6427375,6
35JKL,19,254,179,0.614605,0.6427375,6
35JKL,19,254,178,0.614605,0.6427375,6
35JKL,19,254,177,0.6312975,0.661575,6
35JKL,19,254,176,0.6312975,0.661575,6
35JKL,19,254,175,0.6312975,0.661575,6
35JKL,19,254,174,0.64799,0.6779925,6
35JKL,19,254,173,0.64799,0.6779925,6
35JKL,19,254,172,0.64799,0.6779925,6
35JKL,19,254,171,0.6661675,0.690395,6
35JKL,19,254,170,0.6661675,0.690395,6
35JKL,19,254,169,0.6661675,0.690395,6
35JKL,19,254,168,0.673675,0.69331,6
35JKL,19,254,167,0.673675,0.69331,6
35JKL,19,254,166,0.673675,0.69331,6
35JKL,19,254,165,0.6708425,0.6953175,6
35JKL,19,254,164,0.6708425,0.6953175,6
35JKL,19,254,163,0.6708425,0.6953175,6
35JKL,19,254,162,0.6721625,0.69617,6
35JKL,19,254,161,0.6721625,0.69617,6
35JKL,19,254,160,0.6721625,0.69617,6
35JKL,19,254,159,0.671585,0.69738,7
35JKL,19,254,158,0.671585,0.69738,7
35JKL,19,254,157,0.671585,0.69738,7
35JKL,19,254,156,0.6743075,0.70035,7
35JKL,19,254,155,0.6743075,0.70035,7
35JKL,19,254,154,0.6743075,0.70035,7
35JKL,19,254,153,0.6818975,0.70442,6
35JKL,19,254,152,0.6818975,0.70442,6
35JKL,19,254,151,0.6818975,0.70442,6
35JKL,19,254,150,0.6842625,0.70816,6
35JKL,19,254,149,0.6842625,0.70816,6
35JKL,19,254,148,0.6842625,0.70816,6
35JKL,19,254,147,0.6848675,0.71234,6
35JKL,19,254,146,0.6848675,0.71234,6
35JKL,19,254,145,0.6848675,0.71234,6
35JKL,19,254,144,0.6786525,0.7077475,6
35JKL,19,254,143,0.6786525,0.7077475,6
35JKL,19,254,142,0.6786525,0.7077475,6
35JKL,19,254,141,0.664435,0.6922925,6
35JKL,19,254,140,0.664435,0.6922925,6
35JKL,19,254,139,0.664435,0.6922925,6
35JKL,19,254,138,0.6625925,0.686655,6
35JKL,19,254,137,0.6625925,0.686655,6
35JKL,19,254,136,0.6625925,0.686655,6
35JKL,19,254,135,0.6755175,0.701725,6
35JKL,19,254,134,0.6755175,0.701725,6
35JKL,19,254,133,0.6755175,0.701725,6
35JKL,19,254,132,0.6877825,0.7150625,6
35JKL,19,254,131,0.6877825,0.7150625,6
35JKL,19,254,130,0.6877825,0.7150625,6
35JKL,19,254,129,0.6883875,0.7149525,6
35JKL,19,254,128,0.6883875,0.7149525,6
35JKL,19,254,127,0.6883875,0.7149525,7
35JKL,19,254,126,0.696005,0.719545,7
35JKL,19,254,125,0.696005,0.719545,7
35JKL,19,254,124,0.696005,0.719545,7
35JKL,19,254,123,0.70541,0.729115,2
35JKL,19,254,122,0.70541,0.729115,2
35JKL,19,254,121,0.70541,0.729115,2
35JKL,19,254,120,0.714045,0.74039,2
35JKL,19,254,119,0.714045,0.74039,2
35JKL,19,254,118,0.714045,0.74039,2
35JKL,19,254,117,0.71278,0.74699,2
35JKL,19,254,116,0.71278,0.74699,7
35JKL,19,254,115,0.71278,0.74699,7
35JKL,19,254,114,0.7007625,0.7387125,7
35JKL,19,254,113,0.7007625,0.7387125,7
35JKL,19,254,112,0.7007625,0.7387125,7
35JKL,19,254,111,0.7051625,0.738795,7
35JKL,19,254,110,0.7051625,0.738795,7
35JKL,19,254,109,0.7051625,0.738795,7
35JKL,19,254,108,0.70706,0.7421225,7
35JKL,19,254,107,0.70706,0.7421225,7
35JKL,19,254,106,0.70706,0.7421225,7
35JKL,19,254,105,0.7125325,0.74545,7
35JKL,19,254,104,0.7125325,0.74545,7
35JKL,19,254,103,0.7125325,0.74545,7
35JKL,19,254,102,0.719655,0.749685,7
35JKL,19,254,101,0.719655,0.749685,7
35JKL,19,254,100,0.719655,0.749685,7
35JKL,19,254,99,0.733405,0.76008,7
35JKL,19,254,98,0.733405,0.76008,7
35JKL,19,254,97,0.733405,0.76008,7
35JKL,19,254,96,0.7539475,0.77889,7
35JKL,19,254,95,0.7539475,0.77889,6
35JKL,19,254,94,0.7539475,0.77889,6
35JKL,19,254,93,0.768055,0.7940975,6
35JKL,19,254,92,0.768055,0.7940975,6
35JKL,19,254,91,0.768055,0.7940975,6
35JKL,19,254,90,0.777405,0.8015225,6
35JKL,19,254,89,0.777405,0.8015225,6
35JKL,19,254,88,0.777405,0.8015225,6
35JKL,19,254,87,0.7799075,0.807325,6
35JKL,19,254,86,0.7799075,0.807325,6
35JKL,19,254,85,0.7799075,0.807325,6
35JKL,19,254,84,0.76481,0.79825,6
35JKL,19,254,83,0.76481,0.79825,6
35JKL,19,254,82,0.76481,0.79825,6
35JKL,19,254,81,0.75854,0.7876075,6
35JKL,19,254,80,0.75854,0.7876075,6
35JKL,19,254,79,0.75854,0.7876075,6
35JKL,19,254,78,0.74193,0.77647,6
35JKL,19,254,77,0.74193,0.77647,6
35JKL,19,254,76,0.74193,0.77647,6
35JKL,19,254,75,0.7152825,0.751005,6
35JKL,19,254,74,0.7152825,0.751005,6
35JKL,19,254,73,0.7152825,0.751005,6
35JKL,19,254,72,0.72686,0.7546075,6
35JKL,19,254,71,0.72686,0.7546075,6
35JKL,19,254,70,0.72686,0.7546075,6
35JKL,19,254,69,0.7483925,0.7758375,6
35JKL,19,254,68,0.7483925,0.7758375,6
35JKL,19,254,67,0.7483925,0.7758375,6
35JKL,19,254,66,0.7553775,0.78329,6
35JKL,19,254,65,0.7553775,0.78329,6
35JKL,19,254,64,0.7553775,0.78329,6
35JKL,19,254,63,0.7648925,0.7906325,6
35JKL,19,254,62,0.7648925,0.7906325,6
35JKL,19,254,61,0.7648925,0.7906325,6
35JKL,19,254,60,0.7778725,0.8030075,6
35JKL,19,254,59,0.7778725,0.8030075,6
35JKL,19,254,58,0.7778725,0.8030075,6
35JKL,19,254,57,0.7807325,0.80716,6
35JKL,19,254,56,0.7807325,0.80716,6
35JKL,19,254,55,0.7807325,0.80716,6
35JKL,19,254,54,0.7773775,0.804685,6
35JKL,19,254,53,0.7773775,0.804685,6
35JKL,19,254,52,0.7773775,0.804685,6
35JKL,19,254,51,0.782025,0.8039425,6
35JKL,19,254,50,0.782025,0.8039425,6
35JKL,19,254,49,0.782025,0.8039425,6
35JKL,19,254,48,0.78626,0.80804,6
35JKL,19,254,47,0.78626,0.80804,6
35JKL,19,254,46,0.78626,0.80804,6
35JKL,19,254,45,0.78296,0.8088925,6
35JKL,19,254,44,0.78296,0.8088925,6
35JKL,19,254,43,0.78296,0.8088925,6
35JKL,19,254,42,0.781695,0.8087825,6
35JKL,19,254,41,0.781695,0.8087825,6
35JKL,19,254,40,0.781695,0.8087825,6
35JKL,19,254,39,0.7819425,0.8076275,6
35JKL,19,254,38,0.7819425,0.8076275,6
35JKL,19,254,37,0.7819425,0.8076275,6
35JKL,19,254,36,0.780155,0.8130175,6
35JKL,19,254,35,0.780155,0.8130175,6
35JKL,19,254,34,0.780155,0.8130175,6
35JKL,19,254,33,0.772785,0.80122,6
35JKL,19,254,32,0.772785,0.80122,6
35JKL,19,254,31,0.772785,0.80122,6
35JKL,19,254,30,0.766295,0.79836,6
35JKL,19,254,29,0.766295,0.79836,6
35JKL,19,254,28,0.766295,0.79836,6
35JKL,19,254,27,0.75293,0.7916775,6
35JKL,19,254,26,0.75293,0.7916775,6
35JKL,19,254,25,0.75293,0.7916775,6
35JKL,19,254,24,0.7370625,0.7815575,6
35JKL,19,254,23,0.7370625,0.7815575,6
35JKL,19,254,22,0.7370625,0.7815575,6
35JKL,19,254,21,0.7183075,0.7633525,6
35JKL,19,254,20,0.7183075,0.7633525,6
35JKL,19,254,19,0.7183075,0.7633525,6
35JKL,19,254,18,0.68803,0.7356325,6
35JKL,19,254,17,0.68803,0.7356325,6
35JKL,19,254,16,0.68803,0.7356325,6
35JKL,19,254,15,0.6621525,0.705025,6
35JKL,19,254,14,0.6621525,0.705025,6
35JKL,19,254,13,0.6621525,0.705025,6
35JKL,19,254,12,0.6546175,0.6823925,6
35JKL,19,254,11,0.6546175,0.6823925,6
35JKL,19,254,10,0.6546175,0.6823925,6
35JKL,19,254,9,0.6536275,0.6773875,6
35JKL,19,254,8,0.6536275,0.6773875,6
35JKL,19,254,7,0.6536275,0.6773875,6
35JKL,19,254,6,0.65833,0.6809075,6
35JKL,19,254,5,0.65833,0.6809075,6
35JKL,19,254,4,0.65833,0.6809075,6
35JKL,19,254,3,0.680935,0.69738,6
35JKL,19,254,2,0.680935,0.69738,6
35JKL,19,254,1,0.680935,0.69738,6
35JKL,19,254,0,0.685335,0.70827,6
35JKL,19,253,255,0.5779475,0.5986,7
35JKL,19,253,254,0.5779475,0.5986,7
35JKL,19,253,253,0.5779475,0.5986,7
35JKL,19,253,252,0.575335,0.5973625,7
35JKL,19,253,251,0.575335,0.5973625,7
35JKL,19,253,250,0.575335,0.5973625,7
35JKL,19,253,249,0.5678,0.594035,7
35JKL,19,253,248,0.5678,0.594035,7
35JKL,19,253,247,0.5678,0.594035,7
35JKL,19,253,246,0.5698075,0.59673,7
35JKL,19,253,245,0.5698075,0.59673,7
35JKL,19,253,244,0.5698075,0.59673,7
35JKL,19,253,243,0.5738775,0.59541,7
35JKL,19,253,242,0.5738775,0.59541,7
35JKL,19,253,241,0.5738775,0.59541,7
35JKL,19,253,240,0.56604,0.58727,7
35JKL,19,253,239,0.56604,0.58727,7
35JKL,19,253,238,0.56604,0.58727,7
35JKL,19,253,237,0.5564975,0.580175,7
35JKL,19,253,236,0.5564975,0.580175,5
35JKL,19,253,235,0.5564975,0.580175,5
35JKL,19,253,234,0.5516575,0.5737125,5
35JKL,19,253,233,0.5516575,0.5737125,7
35JKL,19,253,232,0.5516575,0.5737125,7
35JKL,19,253,231,0.5514375,0.5761875,7
35JKL,19,253,230,0.5514375,0.5761875,7
35JKL,19,253,229,0.5514375,0.5761875,7
35JKL,19,253,228,0.558615,0.5810275,7
35JKL,19,253,227,0.558615,0.5810275,7
35JKL,19,253,226,0.558615,0.5810275,7
35JKL,19,253,225,0.56219,0.5821,7
35JKL,19,253,224,0.56219,0.5821,7
35JKL,19,253,223,0.56219,0.5821,7
35JKL,19,253,222,0.561915,0.5821275,7
35JKL,19,253,221,0.561915,0.5821275,7
35JKL,19,253,220,0.561915,0.5821275,7
35JKL,19,253,219,0.56461,0.5890575,7
35JKL,19,253,218,0.56461,0.5890575,7
35JKL,19,253,217,0.56461,0.5890575,7
35JKL,19,253,216,0.5638675,0.5885075,7
35JKL,19,253,215,0.5638675,0.5885075,7
35JKL,19,253,214,0.5638675,0.5885075,7
35JKL,19,253,213,0.5658475,0.5935675,7
35JKL,19,253,212,0.5658475,0.5935675,7
35JKL,19,253,211,0.5658475,0.5935675,7
35JKL,19,253,210,0.5714025,0.6004425,7
35JKL,19,253,209,0.5714025,0.6004425,7
35JKL,19,253,208,0.5714025,0.6004425,7
35JKL,19,253,207,0.58562,0.6180425,7
35JKL,19,253,206,0.58562,0.6180425,7
35JKL,19,253,205,0.58562,0.6180425,7
35JKL,19,253,204,0.59816,0.6254675,7
35JKL,19,253,203,0.59816,0.6254675,7
35JKL,19,253,202,0.59816,0.6254675,7
35JKL,19,253,201,0.6090225,0.6332225,7
35JKL,19,253,200,0.6090225,0.6332225,7
35JKL,19,253,199,0.6090225,0.6332225,7
35JKL,19,253,198,0.6145225,0.63072,7
35JKL,19,253,197,0.6145225,0.63072,7
35JKL,19,253,196,0.6145225,0.63072,7
35JKL,19,253,195,0.61884,0.64216,7
35JKL,19,253,194,0.61884,0.64216,7
35JKL,19,253,193,0.61884,0.64216,7
35JKL,19,253,192,0.61961,0.637815,7
35JKL,19,253,191,0.61961,0.637815,6
35JKL,19,253,190,0.61961,0.637815,6
35JKL,19,253,189,0.62071,0.6423525,6
35JKL,19,253,188,0.62071,0.6423525,6
35JKL,19,253,187,0.62071,0.6423525,6
